Id,OwnerAccountId,OwnerUsername,DogId,DogName,WalkerAccountId,WalkerUsername,DurationSeconds,FromNeighborhood,FromLocationId,ToLocationId,WalkStartTimestamp,WalkStopTimestamp,Distance,DistanceUnits,WalkerRating,DogRating,OwnerRating,WalkerComments,OwnerComments
1,1,Owner 1,1,Dog 1,1,Walker 1,1815,West Hollywood,1,1,2018-01-01 14:46:59,2018-01-01 15:17:14,5.98094,Mi,4,3,4,,
2,1,Owner 1,2,Dog 2,1,Walker 1,1815,West Hollywood,1,1,2018-01-01 14:46:59,2018-01-01 15:17:14,2.79022,Mi,1,5,2,,
3,2,Owner 2,3,Dog 3,3,Walker 3,3629,Santa Monica,2,2,2018-01-01 13:37:23,2018-01-01 14:37:52,1.06908,Mi,2,2,3,,
4,3,Owner 3,4,Dog 4,4,Walker 4,3628,Santa Monica,2,2,2018-01-03 14:16:57,2018-01-03 15:17:25,1.62300,Mi,1,1,2,,
5,4,Owner 4,5,Dog 5,5,Walker 5,3629,Santa Monica,2,2,2018-01-03 11:25:57,2018-01-03 12:26:26,5.46943,Mi,1,5,1,,
6,5,Owner 5,6,Dog 6,6,Walker 6,1814,Santa Monica,2,2,2018-01-01 12:52:49,2018-01-01 13:23:03,5.05284,Mi,1,1,5,,
7,6,Owner 6,7,Dog 7,7,Walker 7,3629,Venice,3,3,2018-01-03 15:32:08,2018-01-03 16:32:37,2.93104,Mi,3,4,4,,
8,7,Owner 7,8,Dog 8,8,Walker 8,3629,Venice,3,3,2018-01-01 14:12:40,2018-01-01 15:13:09,3.17186,Mi,4,3,1,,
9,8,Owner 8,9,Dog 9,9,Walker 9,3628,Downtown,4,4,2018-01-01 14:12:29,2018-01-01 15:12:57,1.23801,Mi,3,2,4,,
10,9,Owner 9,10,Dog 10,10,Walker 10,3629,Venice,3,3,2018-01-01 12:54:02,2018-01-01 13:54:31,1.23693,Mi,1,2,4,,
11,10,Owner 10,11,Dog 11,11,Walker 11,1815,Beverly Hills,5,5,2018-01-03 10:52:37,2018-01-03 11:22:52,2.84907,Mi,3,1,2,,
12,11,Owner 11,12,Dog 12,12,Walker 12,1815,West Hollywood,1,1,2018-01-03 12:38:21,2018-01-03 13:08:36,1.89403,Mi,5,2,5,,
13,12,Owner 12,13,Dog 13,13,Walker 13,3629,West Hollywood,1,1,2018-01-02 14:09:03,2018-01-02 15:09:32,1.97076,Mi,1,3,3,,
14,13,Owner 13,14,Dog 14,14,Walker 14,1815,Pacific Palisades,6,6,2018-01-01 13:35:59,2018-01-01 14:06:14,5.89042,Mi,2,4,2,,
15,14,Owner 14,15,Dog 15,15,Walker 15,3629,West Hollywood,1,1,2018-01-03 13:01:18,2018-01-03 14:01:47,5.84290,Mi,2,2,5,,
16,15,Owner 15,16,Dog 16,16,Walker 16,3628,Venice,3,3,2018-01-03 13:25:42,2018-01-03 14:26:10,5.51853,Mi,1,2,5,,
